Film,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million),Budget collect, Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
7 Days in Entebbe,26,49,38,39,59,-20,49,-12,thriller,"Thriller, Suspense",based on a true story,1.6,"15,92,645",3.2,"31,89,220",5.5,"54,65,548","86,54,768",87,63.15%,-,-,-,2018,,,https://www.amazon.com/7-Days-Entebbe-Daniel-BrC3BChl/dp/B07BF8T78W/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964038&sr=1-2&keywords=7+Days+in+Entebbe
A Simple Favor,85,67,76,77,70,7,73.5,3,thriller,Thriller,adaptation,16.0,"1,60,11,689",53.5,"5,35,48,586",41.3,"4,12,85,014","9,48,33,600",948,43.53%,20,-,-,2018,,,https://www.amazon.com/Simple-Favor-Anna-Kendrick/dp/B07HHWHRS9/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546963941&sr=1-1&keywords=A+Simple+Favor
Aquaman ,65,55,60,80,73,7,76.5,-17,Action,"Action, Adventure",adaptation,67.9,"6,78,73,522",259.7,"25,97,20,880",681.0,"68,10,00,000","94,07,20,880",941,72.39%,160,-,-,2018,,,-
Bad Samaritan,54,42,48,73,65,8,69,-21,thriller,"Thriller, Suspense",original screenplay,1.7,"17,26,868",3.4,"34,24,744",0.0,0,"34,24,744",34,0,-,-,-,2018,,,https://www.amazon.com/Bad-Samaritan-David-Tennant/dp/B07F1L2CTZ/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970011&sr=1-2&keywords=Bad+Samaritan
Beatriz At Dinner,75,68,72,56,52,4,54,18,comedy,comedy,original screenplay,0.1,"1,41,959",7.1,"71,15,854",0.0,0,"71,15,854",7,0.00%,-,-,-,2017,,,https://www.amazon.co.uk/Dinner-Steve-Coogan/dp/B07BMDS55H/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981246&sr=1-1&keywords=Beatriz+At+Dinner
Beirut (aka The Negotiator),83,69,76,56,66,-10,61,15,Action,Action,original screenplay,1.7,"17,34,497",5.0,"50,19,226",2.2,"22,39,308","72,58,534",73,30.85%,-,-,-,2018,,,-
Blindspotting,93,76,85,90,79,11,84.5,0,Drama,Drama,original screenplay,0.3,"3,38,999",4.2,"41,53,783",0.0,"25,419","41,79,202",42,0.61%,-,-,-,2018,,,https://www.amazon.com/Blindspotting-Daveed-Diggs/dp/B07G4N3J9R/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970094&sr=1-1&keywords=Blindspotting
Detective Chinatown 2,54,48,51,71,-,-,-,-,Action,Action,sequel,0.7,"7,04,047",2.0,"19,83,984",542.1,"54,20,77,932","54,40,61,916",544,99.64%,-,-,-,2018,,,https://www.amazon.com/Detective-Chinatown-Wang-Baoqiang/dp/B01MSC08RY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546970420&sr=1-1&keywords=Detective+Chinatown+2
God's Not Dead: A Light in Darkness,13,33,23,53,38,15,45.5,-23,Drama,Drama,sequel,2.7,"26,89,677",5.7,"57,28,940",0.0,0,"57,28,940",57,0,-,-,-,2018,,,https://www.amazon.com/Gods-Not-Dead-Light-Darkness/dp/B07FMJDX7C/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974478&sr=1-1&keywords=God27s+Not+Dead3A+A+Light+in+Darkness
Gringo,39,46,43,40,55,-15,47.5,-5,comedy,Black Comedy,original screenplay,2.7,"27,22,420",5.0,"49,69,853",6.0,"60,31,774","1,10,01,627",110,54.83%,-,-,-,2018,,,https://www.amazon.com/Gringo-David-Oyelowo/dp/B078J2R4MC/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974536&sr=1-2&keywords=gringo
Isle of Dogs,90,82,86,88,81,7,84.5,2,Comedy,Comedy,original screenplay,1.6,"16,20,294",32.0,"3,20,14,532",32.1,"3,21,33,161","6,41,47,693",641,50.09%,-,-,-,2018,,,https://www.amazon.com/Isle-Dogs-Bryan-Cranston/dp/B07C4825LL/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975090&sr=1-2&keywords=Isle+of+Dogs
Leave No Trace,100,88,94,87,78,9,82.5,12,Drama,Drama,adaptation,0.2,"2,19,140",5.8,"57,60,845",0.0,0,"57,60,845",58,0,-,-,-,2018,,,https://www.amazon.com/Leave-No-Trace-Ben-Foster/dp/B07FCXVJJ7/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975172&sr=1-1&keywords=Leave+No+Trace
Lion,87,68,77.5,92,72,20,82,-4.5,Drama,Drama,adaptation,0.1,"1,23,360",7.2,"71,87,095",3.2,"31,50,000","1,03,37,095",10,30.47%,-,-,-,2016,,,https://www.amazon.com/Lion-Dev-Patel/dp/B01NH0KRPW/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483641220&sr=1-1&keywords=lion+2016
Megan Leavey,84,66,75,83,65,18,74,1,drama,drama,based on a true story,3.8,"38,10,867",13.4,"1,34,06,883",0.0,0,"1,34,06,883",13,0.00%,-,-,-,2017,,,-
Puzzle,82,66,74,80,87,-7,83.5,-10,Drama,Drama,remake / reboot,0.1,"61,214",1.2,"11,90,554",0.0,0,"11,90,554",12,0,-,-,-,2018,,,https://www.amazon.com/Puzzle-Kelly-Macdonald/dp/B07KCMXR4R/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975303&sr=1-1&keywords=Puzzle
Samson,25,17,21,54,28,26,41,-20,Drama,Drama,original screenplay,1.9,"19,42,569",4.7,"47,19,928",0.0,0,"47,19,928",47,0,-,-,-,2018,,,https://www.amazon.com/Samson-Jackson-Rathbone/dp/B079XVWQDN/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974723&sr=1-2&keywords=Samson
Smallfoot,75,60,68,65,68,-3,66.5,1,Animation,Animation,adaptation,23.0,"2,30,45,635",83.1,"8,30,63,023",130.9,"13,09,00,000","21,39,63,023",214,61.18%,80,-,-,2018,,,https://www.amazon.com/Smallfoot-Channing-Tatum/dp/B07L1CNJBD/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974832&sr=1-1&keywords=Smallfoot
The Death of Stalin,96,88,92,77,74,3,75.5,17,Drama,"Drama, Comedy",original screenplay,0.2,"1,84,805",8.0,"80,41,828",16.6,"1,65,98,199","2,46,40,027",246,67.36%,-,-,-,2018,,,https://www.amazon.com/Death-Stalin-Steve-Buscemi/dp/B07B8NGLWD/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974973&sr=1-2&keywords=The+Death+of+Stalin
The Glass Castle,49,56,53,74,63,11,68.5,-16,drama,drama,"adaptation, based on a true story",4.7,"46,78,548",17.3,"1,72,73,059",4.5,"44,97,986","2,17,71,045",22,20.66%,-,-,-,2017,,,https://www.amazon.co.uk/Glass-Castle-Destin-Daniel-Cretton/dp/B07653BDVT/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978643&sr=1-1&keywords=The+Glass+Castle
The Leisure Seeker,36,45,41,58,78,-20,68,-28,Drama,Drama,adaptation,0.113,"1,13,708",3.2,"32,24,126",16.1,"1,61,16,412","1,93,40,538",19,83.33%,-,-,-,2018,,,https://www.amazon.com/Leisure-Seeker-Helen-Mirren/dp/B07FBB73L2/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546974021&sr=1-2&keywords=The+Leisure+Seeker
The Man Who Invented Christmas,80,60,70,84,61,23,72.5,-3,drama,drama,"adaptation, based on a true story",1.4,"13,53,297",4.7,"46,64,004",0.0,0,"46,64,004",5,0.00%,-,-,-,2017,,,https://www.amazon.co.uk/Man-Who-Invented-Christmas/dp/B07B889P5J/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980815&sr=1-1&keywords=The+Man+Who+Invented+Christmas
The Miracle Season,49,44,47,87,82,5,84.5,-38,Drama,Drama,based on a true story,4.0,"39,50,652",10.2,"1,02,30,620",0.0,0,"1,02,30,620",102,0,-,-,-,2018,,,https://www.amazon.com/Miracle-Season-Helen-Hunt/dp/B07BZ9GZ6D/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546973961&sr=1-2&keywords=the+miracle+season
The Rider,96,92,94,83,81,2,82,12,Drama,Drama,original screenplay,0.0,"42,244",2.4,"23,81,014",0.0,0,"23,81,014",24,0,-,-,-,2018,,,https://www.amazon.com/Rider-Brady-Jandreau/dp/B07D6YNG95/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546973793&sr=1-2&keywords=The+Rider
The Seagull,68,59,64,62,67,-5,64.5,-1,Drama,Drama,adaptation,0.1,"79,016",1.3,"12,52,960",0.0,0,"12,52,960",13,0,-,-,-,2018,,,https://www.amazon.com/Seagull-Saoirse-Ronan/dp/B07HKVGWNZ/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546973785&sr=1-1&keywords=The+Seagull
Tully,87,75,81,75,76,-1,75.5,6,Comedy,Comedy,original screenplay,3.3,"32,82,610",9.2,"92,27,130",6.3,"63,27,027","1,55,54,157",156,40.68%,-,-,-,2018,,,https://www.amazon.com/Tully-Charlize-Theron/dp/B07CRN142G/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970659&sr=1-2&keywords=Tully
You Were Never Really Here,88,84,86,65,73,-8,69,17,Drama,Drama,adaptation,0.1,"1,32,829",2.5,"25,23,610",0.0,0,"25,23,610",25,0,-,-,-,2018,,,https://www.amazon.com/You-Were-Never-Really-Here/dp/B0797HXX16/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970535&sr=1-2&keywords=You+Were+Never+Really+Here
Your Name.,97,79,88,94,90,4,92,-4,animation,animation,adaptation,1.8,"18,13,781",5.0,"50,17,246",350.3,"35,02,81,024","35,52,98,270",355,98.59%,-,-,-,2017,,,https://www.amazon.co.uk/Your-English-Dubbed-Michael-Sinterniklaas/dp/B077XK82LD/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980636&sr=1-1&keywords=Your+Name.
Paranormal Activity ,82,68,75.0,56,57,-1,56.5,18.5,horror,"horror, mystery",original screenplay,19.6,"1,96,00,000",107.9,"10,79,20,000",85.4,"8,54,40,000","19,33,60,000",193,44.19%,0,1289067%,130667%,2009,,,http://www.amazon.com/gp/product/B003204MQS/?tag=titb-20
Searching,92,71,82,88,79,9,83.5,-2,thriller,Thriller,original screenplay,6.1,"60,66,463",26.0,"2,60,20,957",49.4,"4,93,62,784","7,53,83,741",754,65.48%,1,75384%,-,2018,,,https://www.amazon.com/Searching-John-Cho/dp/B07GVTBL57/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974732&sr=1-1&keywords=Searching
The Gallows,16,30,23,25,69,-44,47,-24,horror,horror,original screenplay,9.8,"98,08,463",22.8,"2,27,64,410",15.4,"1,54,00,000","3,81,64,410",38,40.35%,0,38164%,9808.46%,2015,,,http://www.amazon.com/gp/product/B016KAAFEO/?tag=titb-20
Ne Zha,87,54,71,98,93,5,96,-25,Adventure,Adventure,adaptation,1.0,"10,15,755",3.7,"36,95,533",696.9,"69,68,52,221","70,05,47,754",701,99.47%,5,14011%,20.32%,2019,,,-
No Escape,46,38,42,67,65,2,66,-24,action,action,original screenplay,8.1,"81,11,264",27.2,"2,72,03,371",27.1,"2,71,30,000","5,43,33,371",54,49.93%,0,12074%,1802.50%,2015,,,http://www.amazon.com/gp/product/B016Z411SE/?tag=titb-20
The Devil Inside,6,18,12.0,22,26,-4,24,-12,horror,horror,original screenplay,33.7,"3,37,32,515",53.3,"5,32,61,944",48.5,"4,84,96,546","10,17,58,490",102,47.66%,1,10176%,3373.25%,2012,,,http://www.amazon.com/gp/product/B0083GR15K/?tag=titb-20
Fireproof,40,28,34,51,66,-15,58.5,-24.5,romance,romance,original screenplay,6.8,"68,40,000",33.5,"3,34,60,000",0.0,"20,000","3,34,80,000",33,0.06%,1,6696%,1368.00%,2008,,,http://www.amazon.com/gp/product/B001VL5304/?tag=titb-20
Paranormal Activity 2,,53,53.0,,58,-58,58,-5,horror,horror,sequel,40.7,"4,06,70,000",84.8,"8,47,50,000",92.8,"9,27,60,000","17,75,10,000",178,52.26%,3,5917%,1355.67%,2010,,,http://www.amazon.com/gp/product/B004MQ8A78/?tag=titb-20
Get Out,99,84,92,87,75,12,81,11,horror,horror,original screenplay,33.4,"3,33,77,060",175.5,"17,54,84,140",78.8,"7,88,45,376","25,43,29,516",254,31.00%,5,5652%,741.71%,2017,Oscar Winner,Best Original Screenplay,https://www.amazon.co.uk/Get-Out-Daniel-Kaluuya/dp/B072XM6DBW/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981433&sr=1-1&keywords=Get+Out
Insidious,67,52,59.5,65,70,-5,67.5,-8,horror,"horror, thriller",original screenplay,13.3,"1,32,70,000",54.0,"5,40,10,000",43.0,"4,30,00,000","6,72,80,054",67,63.91%,2,4485%,884.67%,2011,,,http://www.amazon.com/gp/product/B016887PIW/?tag=titb-20
Annabelle,29,37,33.0,38,53,-15,45.5,-12.5,horror,horror,sequel,37.1,"3,71,34,255",84.3,"8,42,73,813",171.0,"17,10,00,000","25,52,73,813",255,66.99%,7,3927%,571.30%,2014,,,http://www.amazon.com/gp/product/B018C4RSIM/?tag=titb-20
The Last Exorcism,73,63,68,32,61,-29,46.5,21.5,horror,"horror, thriller",original screenplay,20.4,"2,04,00,000",41.0,"4,10,30,000",26.7,"2,67,00,000","6,77,30,000",68,39.42%,2,3763%,1133.33%,2010,,,http://www.amazon.com/gp/product/B004HYDM8W/?tag=titb-20
Chernobyl Diaries,19,32,25.5,29,47,-18,38,-12.5,horror,"horror, thriller",original screenplay,8.0,"79,55,307",18.1,"1,81,19,640",19.0,"1,90,38,008","3,71,57,648",37,51.24%,1,3716%,795.53%,2012,,,http://www.amazon.com/gp/product/B009KS5SJ6/?tag=titb-20
When in Rome,15,25,20,44,47,-3,45.5,-25.5,comedy,"comedy, romance",original screenplay,12.3,"1,23,00,000",32.7,"3,26,80,000",10.4,"1,03,60,000","4,30,40,000",43,24.07%,1,3311%,946.15%,2010,,,http://www.amazon.com/gp/product/B003QTPAB6/?tag=titb-20
Insidiuous Chapter 2,38,40,39.0,57,69,-12,63,-24,thriller,"Thriller, Horror",sequel,40.3,"4,02,72,103",83.6,"8,35,86,447",78.3,"7,83,32,871","16,19,19,318",162,48.38%,5,3238%,805.44%,2013,,,http://www.amazon.com/gp/product/B00GMOR7LS/?tag=titb-20
Paranormal Activity 3,68,59,63.5,58,60,-2,59,4.5,horror,horror,sequel,52.6,"5,25,70,000",104.0,"10,40,30,000",103.0,"10,30,10,000","15,66,00,104",157,65.78%,5,3132%,1051.40%,2011,,,http://www.amazon.com/gp/product/B00715SUI6/?tag=titb-20
God's Not Dead,16,16,16.0,79,35,44,57,-41,drama,"drama, fantasy, comedy, family",original screenplay ,9.2,"92,17,013",60.8,"6,07,55,732",1.9,"18,75,000","6,26,30,732",63,2.99%,2,3132%,460.85%,2014,,,http://www.amazon.com/gp/product/B00LPRKH5U/?tag=titb-20
Split,74,62,68,79,69,10,74,-6,horror,"horror, thriller",original screenplay,40.0,"4,00,10,975",138.1,"13,81,41,585",140.2,"14,01,62,993","27,83,04,578",278,50.36%,9,3092%,444.57%,2017,,,https://www.amazon.co.uk/Split-James-McAvoy/dp/B072HT1VY9/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980563&sr=1-1&keywords=Split
Juno,94,81,87.5,88,83,5,85.5,2,comedy,"comedy, drama",original screenplay,0.4,"4,13,869",143.5,"14,34,95,265",87.7,"8,76,88,908","23,11,84,173",231,37.93%,8,3082%,5.52%,2007,Oscar Winner,Best Original Screenplay,http://www.amazon.co.uk/Juno-J-K-Simmons/dp/B00FYJC65Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386157&sr=1-1&keywords=Juno
Lights Out,77,58,67.5,64,69,-5,66.5,1.0,Horror,Horror,original screenplay,21.7,"2,16,88,103",67.3,"6,72,68,835",81.5,"8,15,00,000","14,87,68,835",149,54.78%,5,3036%,442.61%,2016,,,https://www.amazon.com/Lights-Out-Teresa-Palmer/dp/B01IURHTBC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219191&sr=1-1&keywords=Lights+Out
The Purge,38,41,39.5,36,52,-16,44,-4.5,sci-fi,"Sci-Fi, Thriller, Horror",original screenplay,34.1,"3,40,58,360",64.5,"6,44,73,115",24.9,"2,48,55,512","8,93,28,627",89,27.82%,3,2978%,1135.28%,2013,,,http://www.amazon.com/gp/product/B00FPGSCUY/?tag=titb-20
"Hello, My Name is Doris",82,63,72.5,77,73,4,75,-2.5,Drama,Drama,original screenplay,2.4,"23,76,822",28.8,"2,87,51,693",0.2,"2,11,196","2,89,62,889",29,0.73%,1,2896%,237.68%,2016,,,https://www.amazon.com/Hello-Name-Doris-Sally-Field/dp/B01CUBR6IK/ref=sr_1_fkmr0_1?s=instant-video&ie=UTF8&qid=1481218819&sr=1-1-fkmr0&keywords=Hello2C+My+Name+is+Doris
Paranormal Activity 4,24,40,32.0,36,45,-9,40.5,-8.5,horror,horror,sequel,29.0,"2,90,03,866",53.9,"5,39,21,300",88.9,"8,89,17,657","14,28,38,957",143,62.25%,5,2857%,580.08%,2012,,,http://www.amazon.com/gp/product/B00B7G3Y4U/?tag=titb-20
The King's Speech,95,88,91.5,93,83,10,88,3.5,biography,"biography, history",based on a true story,4.4,"44,00,000",138.8,"13,87,90,000",275.4,"27,54,10,000","41,42,00,000",414,66.49%,15,2761%,29.33%,2010,Oscar Winner,"Best Picture, Best Director, Best Original Screenplay",http://www.amazon.com/gp/product/B004X4R49Y/?tag=titb-20
Truth or Dare,14,35,25,21,38,-17,29.5,-5,thriller,"Thriller, Suspense",original screenplay,18.7,"1,86,67,855",40.7,"4,07,17,020",54.1,"5,41,18,281","9,48,35,301",948,57.07%,4,2710%,533.37%,2018,,,https://www.amazon.com/Blumhouses-Truth-Dare-Lucy-Hale/dp/B07CFKNJQP/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546970700&sr=1-2&keywords=Truth+or+Dare
Sinister,63,53,58.0,61,71,-10,66,-8,horror,"horror, mystery, thriller",original screenplay,18.0,"1,80,07,634",48.1,"4,80,86,903",29.6,"2,96,25,536","7,77,12,439",78,38.12%,3,2590%,600.25%,2012,,,http://www.amazon.com/gp/product/B019J76QLQ/?tag=titb-20
Dope,87,72,79.5,85,75,10,80,-0.5,comedy,"comedy, drama",original screenplay,6.1,"61,00,010",17.5,"1,75,06,470",0.5,"4,80,000","1,79,86,470",18,2.67%,1,2569%,871.43%,2015,,,http://www.amazon.com/gp/product/B00KG2PHEQ/?tag=titb-20
The Fault in our Stars,81,69,75.0,86,74,12,80,-5,drama,"drama, romance",adaptation,48.0,"4,80,02,523",124.9,"12,48,72,350",182.4,"18,23,66,663","30,72,39,013",307,59.36%,12,2560%,400.02%,2014,,,http://www.amazon.com/gp/product/B00KPQ7MY6/?tag=titb-20
Halloween ,79,67,73,73,70,3,71.5,2,Horror,Horror,sequel,76.2,"7,62,21,545",159.3,"15,93,42,015",94.3,"9,43,37,910","25,36,79,925",254,37.19%,10,2537%,762.22%,2018,,,https://www.amazon.com/Halloween-Jamie-Lee-Curtis/dp/B07JG4HZ12/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974551&sr=1-1&keywords=halloween+2018
Black Swan        ,88,79,83.5,86,80,6,83,0.5,thriller,"mystery, thriller",original screenplay,8.4,"83,80,000",107.0,"10,69,50,000",222.4,"22,24,40,000","32,93,90,000",329,67.53%,13,2534%,64.46%,2010,,Best Actress,http://www.amazon.com/gp/product/B004U8VWLE/?tag=titb-20
Slumdog Millionaire,94,86,90,90,78,12,84,6,drama,"drama, romance, thriller",adaptation,4.3,"43,00,000",141.3,"14,13,20,000",236.6,"23,65,90,000","37,79,10,000",378,62.60%,15,2519%,28.67%,2008,Oscar Winner,"Best Picture, Best Director, Best Adapted Screenplay",http://www.amazon.com/gp/product/B00280GDFQ/?tag=titb-20
A Haunted House,10,20,15.0,51,51,0,51,-36,Horror,"Horror, Comedy",original screenplay,18.1,"1,81,01,682",40.0,"4,00,41,683",20.1,"2,01,00,000","6,01,41,683",60,33.42%,3,2406%,724.07%,2013,,,http://www.amazon.com/gp/product/B00CHIG3NQ/?tag=titb-20
Magic Mike,80,72,76.0,61,59,2,60,16,comedy,comedy,based on a true story ,39.1,"3,91,27,170",113.7,"11,37,21,571",53.5,"5,35,00,000","16,72,21,571",167,31.99%,7,2389%,558.96%,2012,,,http://www.amazon.com/gp/product/B009VB97EY/?tag=titb-20
Happy Death Day,71,57,64,66,66,0,66,-2,horror,horror,original screenplay,26.0,"2,60,39,025",55.7,"5,56,81,005",56.7,"5,67,00,000","11,23,81,005",112,50.45%,5,2341%,542.48%,2017,,,https://www.amazon.co.uk/Happy-Death-Day-Jessica-Rothe/dp/B076THF46M/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980828&sr=1-1&keywords=Happy+Death+Day
High School Musical 3: Senior Year,65,57,61,76,42,34,59,2,comedy,"comedy, family, musical",sequel,42.0,"4,20,30,000",90.6,"9,05,60,000",162.4,"16,23,50,000","25,29,10,000",253,64.19%,11,2299%,382.09%,2008,,,http://www.amazon.com/gp/product/B003QSJVOO/?tag=titb-20
War Room,37,26,31.5,90,53,37,71.5,-40,drama,drama,original screenplay,11.4,"1,13,51,389",67.2,"6,72,17,187",0.0,"61,85,122","6,72,17,187",67,9.20%,3,2241%,378.38%,2015,,,http://www.amazon.com/gp/product/B017OJL48G/?tag=titb-20
Ouija,7,38,22.5,26,63,-37,44.5,-22,action,"action, adventure, thriller, horror",original screenplay ,19.9,"1,98,75,995",50.9,"5,08,56,010",51.7,"5,16,73,769","10,25,29,779",103,50.40%,5,2051%,397.52%,2014,,,http://www.amazon.com/gp/product/B00S0AYSX2/?tag=titb-20
Annabelle: Creation,69,62,66,68,68,0,68,-3,horror,horror,prequel,35.0,"3,50,06,404",102.1,"10,20,92,201",203.7,"20,37,00,000","30,57,92,201",306,66.61%,15,2039%,233.38%,2017,,,https://www.amazon.co.uk/Annabelle-Creation-David-F-Sandberg/dp/B074SYP8BL/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980777&sr=1-1&keywords=Annabelle3A+Creation
It,85,70,78,85,80,5,82.5,-5,horror,horror,adaptation,123.4,"12,34,03,419",327.5,"32,74,75,366",368.2,"36,82,00,000","69,56,75,366",696,52.93%,35,1988%,352.58%,2017,,,https://www.amazon.co.uk/Bill-Skarsgard/dp/B0756WYLZH/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546980603&sr=1-1&keywords=It
A Quiet Place,95,82,89,83,75,8,79,10,Horror,Horror,original screenplay,50.2,"5,02,03,562",188.0,"18,80,24,361",144.6,"14,45,59,086","33,25,83,447",333,43.47%,17,1956%,295.32%,2018,,,https://www.amazon.com/Quiet-Place-Emily-Blunt/dp/B07BYSTXMF/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546964056&sr=1-2&keywords=A+Quiet+Place
The Lazarus Effect,14,31,22.5,23,49,-26,36,-13.5,horror,horror,original screenplay,10.2,"1,02,03,437",25.8,"2,58,01,047",38.3,"3,83,09,681","6,41,10,728",64,59.76%,3,1943%,309.20%,2015,,,http://www.amazon.com/gp/product/B00ZRHRXXS/?tag=titb-20
Joker,69,59,64,88,92,-4,90,-26,thriller,Thriller,adaptation,96.2,"9,62,02,337",331.0,"33,09,64,838",722.8,"72,28,00,000","1,05,37,64,838","1,054",68.59%,55,1916%,174.91%,2019,,,https://www.amazon.co.uk/Joker-Joaquin-Phoenix/dp/B07YP8JS6J/ref=sr_1_1?crid=2DMKQQCH5NS38&keywords=joker&qid=1577973602&s=instant-video&sprefix=Joker2Cinstant-video2C163&sr=1-1
The Visit,63,55,59,57,65,-8,61,-2,horror,horror,original screenplay,25.4,"2,54,27,560",64.7,"6,47,04,895",26.2,"2,62,32,544","9,09,37,439",91,28.85%,5,1819%,508.55%,2015,,,http://www.amazon.com/gp/product/B0199693VM/?tag=titb-20
Paranormal Activity: The Marked Ones,37,42,39.5,35,50,-15,42.5,-3,thriller,"thriller, horror",sequel,18.3,"1,83,43,611",32.5,"3,24,62,372",58.4,"5,84,42,482","9,09,04,854",91,64.29%,5,1818%,366.87%,2014,,,http://www.amazon.com/gp/product/B00INS1U78/?tag=titb-20
Instructions Not Included,56,55,55.5,89,77,12,83,-27.5,Drama,"Drama, Comedy",original screenplay,7.8,"78,46,426",44.5,"4,44,67,207",54.6,"5,46,00,000","9,90,67,206",99,55.11%,6,1801%,142.66%,2013,,,http://www.amazon.com/gp/product/B00HAWAXW6/?tag=titb-20
The Favourite,94,90,92,60,77,-17,68.5,24,Drama,Drama,original screenplay,2.1,"20,85,123",19.4,"1,93,69,336",7.5,"74,52,427","2,68,21,763",268,27.79%,15,1788%,-,2018,,,https://www.amazon.com/Favourite-Olivia-Colman/dp/B07L9H1WG5/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974218&sr=1-1&keywords=The+Favourite
Escape Room,48,48,48,55,55,0,55,-7,Action,"Action, Adventure, Drama",original screenplay,18.2,"1,82,38,172",56.9,"5,68,84,457",96.5,"9,65,26,751","15,34,11,208",153,62.92%,9,1705%,202.65%,2019,,,https://www.amazon.co.uk/Escape-Room-Tyler-Labine/dp/B07NBWYMVG/ref=sr_1_2?crid=1SK4TR2AU9EK4&keywords=escape+room+2019&qid=1557072613&s=instant-video&sprefix=Escape+Room2Cinstant-video2C143&sr=1-2-catcorr
Semi-Pro,21,47,34,41,57,-16,49,-15,comedy,"comedy, sport",original screenplay,15.1,"1,50,80,000",33.5,"3,34,80,000",10.4,"1,04,10,000","4,38,90,000",44,23.72%,3,1688%,580.00%,2008,,,http://www.amazon.com/gp/product/B001AOM98Q/?tag=titb-20
Insidious: The Last Key,33,49,41,56,53,3,54.5,-14,Horror,Horror,sequel,29.6,"2,95,81,355",67.3,"6,73,47,895",100.4,"10,03,53,053","16,77,00,948",168,59.84%,10,1677%,295.81%,2018,,,https://www.amazon.com/Insidious-Last-Key-Lin-Shaye/dp/B0786WX8DZ/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975066&sr=1-2&keywords=Insidious3A+The+Last+Key
The Nun,26,46,36,38,56,-18,47,-11,Horror,Horror,sequel,53.8,"5,38,07,379",117.5,"11,74,50,119",248.1,"24,81,00,000","36,55,50,119",366,67.87%,22,1662%,244.58%,2018,,,https://www.amazon.com/Nun-DemiC3A1n-Bichir/dp/B07KMJQ3ZH/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546973878&sr=1-1&keywords=The+Nun
The Conjuring,86,68,77.0,82,78,4,80,-3,Biography,"Biography, Thriller, Horror",based on a true story,41.9,"4,18,55,326",137.4,"13,74,00,141",180.6,"18,06,00,000","31,80,00,144",318,56.79%,20,1590%,209.28%,2013,,,http://www.amazon.com/gp/product/B00G32TD98/?tag=titb-20
Sleight,73,62,68,53,44,9,48.5,19,sci-fi,"sci-fi, action",original screenplay,1.7,"17,01,785",3.9,"39,30,990",0.0,0,"39,30,990",4,0.00%,0,1572%,680.71%,2017,,,https://www.amazon.co.uk/Sleight-Jacob-Latimore/dp/B0752Z6TRG/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981236&sr=1-1&keywords=Sleight
